date,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,type
19-May-12,2.94,0.24,2.51,2.78,12,502,AAPL ,385,Put
19-May-12,3.05,0.29,2.86,3.1,32,715,AAPL ,390,Put
19-May-12,3.4,-0.15,3.25,3.45,69,855,AAPL ,395,Put
19-May-12,3.72,-0.23,3.7,3.85,150,1830,AAPL ,400,Put
19-May-12,4.15,-0.15,4.15,4.4,47,393,AAPL ,405,Put
19-May-12,4.75,0.35,4.65,4.95,8,1018,AAPL ,410,Put
19-May-12,5.35,-0.1,5.25,5.55,8,786,AAPL ,415,Put
19-May-12,6,-0.1,5.9,6.3,9,1218,AAPL ,420,Put
19-May-12,6.7,-,6.65,6.9,39,835,AAPL ,425,Put
19-May-12,7.6,-0.1,7.45,7.75,15,1124,AAPL ,430,Put
19-May-12,8.85,-,8.25,8.65,86,699,AAPL ,435,Put
19-May-12,9.85,0.55,9.1,9.55,60,1139,AAPL ,440,Put
19-May-12,10.6,0.15,10.2,10.65,28,857,AAPL ,445,Put
19-May-12,12,0.4,11.4,11.85,188,2439,AAPL ,450,Put
19-May-12,13.25,-0.2,12.7,13.15,62,779,AAPL ,455,Put
19-May-12,14.85,0.15,14.2,14.6,175,1472,AAPL ,460,Put
19-May-12,15.51,-0.54,15.75,16,120,1053,AAPL ,465,Put
19-May-12,18.1,0.85,17.4,17.65,67,1160,AAPL ,470,Put
19-May-12,19,-0.3,18.9,19.45,39,776,AAPL ,475,Put
19-May-12,21.15,-0.15,21.05,21.3,106,635,AAPL ,480,Put
19-May-12,23.25,-0.05,23,23.3,25,545,AAPL ,485,Put
19-May-12,25.3,-0.3,25.15,25.45,433,1194,AAPL ,490,Put
19-May-12,27.95,0.11,27.4,27.75,169,1102,AAPL ,495,Put
19-May-12,30.4,0.27,29.85,30.15,635,1279,AAPL ,500,Put
