date,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,type
17-Mar-12,0.23,0.03,0.21,0.25,73,1672,AAPL ,360,Put
17-Mar-12,0.21,-0.04,0.23,0.29,20,1540,AAPL ,365,Put
17-Mar-12,0.31,0.04,0.25,0.3,167,1623,AAPL ,370,Put
17-Mar-12,0.32,0.02,0.28,0.33,189,2057,AAPL ,375,Put
17-Mar-12,0.37,0.02,0.31,0.36,65,1937,AAPL ,380,Put
17-Mar-12,0.39,0.01,0.34,0.4,64,2525,AAPL ,385,Put
17-Mar-12,0.4,-0.03,0.4,0.44,108,2354,AAPL ,390,Put
17-Mar-12,0.49,-0.02,0.44,0.55,128,2404,AAPL ,395,Put
17-Mar-12,0.56,-,0.51,0.56,766,8255,AAPL ,400,Put
17-Mar-12,0.6,-,0.56,0.6,121,2213,AAPL ,405,Put
17-Mar-12,0.65,-0.1,0.67,0.71,277,3456,AAPL ,410,Put
17-Mar-12,0.78,-0.08,0.77,0.83,168,3442,AAPL ,415,Put
17-Mar-12,0.9,-0.08,0.88,0.94,2811,6943,AAPL ,420,Put
17-Mar-12,1.1,-0.04,1.06,1.11,1231,7377,AAPL ,425,Put
17-Mar-12,1.29,-0.02,1.24,1.29,798,10747,AAPL ,430,Put
17-Mar-12,1.56,0.02,1.5,1.56,768,5441,AAPL ,435,Put
17-Mar-12,1.86,-0.06,1.79,1.86,1405,9605,AAPL ,440,Put
17-Mar-12,2.23,0.07,2.15,2.23,1347,6903,AAPL ,445,Put
17-Mar-12,2.67,0.1,2.62,2.68,3375,12593,AAPL ,450,Put
17-Mar-12,3.2,0.15,3.1,3.2,2030,6040,AAPL ,455,Put
17-Mar-12,3.75,-0.05,3.75,3.85,3275,16271,AAPL ,460,Put
17-Mar-12,4.7,0.17,4.55,4.7,1633,9288,AAPL ,465,Put
17-Mar-12,5.65,0.1,5.55,5.7,3371,9585,AAPL ,470,Put
17-Mar-12,6.8,0.15,6.7,6.75,2132,8176,AAPL ,475,Put
17-Mar-12,8.15,0.15,8.05,8.2,3793,9743,AAPL ,480,Put
17-Mar-12,9.7,-0.05,9.65,9.8,2774,8383,AAPL ,485,Put
17-Mar-12,11.7,0.2,11.5,11.7,5182,8302,AAPL ,490,Put
17-Mar-12,13.75,0.15,13.6,13.8,5149,7424,AAPL ,495,Put
17-Mar-12,16.2,0.23,16,16.1,7565,10505,AAPL ,500,Put
