,J=10,J=15,J=20,J=25,J=30,J=35,J=40,J=45,J=50,J=55,J=60,J=65,J=70,J=75,J=80,J=85,J=90,J=95,J=100,J=105,J=110
N=440,-0.233,0.245,-0.514,-0.617,-0.058,-0.759,-0.818,-0.239,-0.914,-0.953,-0.372,-1.028,-1.058,-0.479,-1.119,11.296,44.81,76.062,103.625,127.721,150.349
N=450,-0.233,0.245,-0.514,-0.617,-0.058,-0.758,-0.817,-0.239,-0.914,-0.953,-0.372,-1.028,-1.057,-0.478,-1.119,5.619,39.738,72.2,100.788,125.769,149.178
N=460,-0.233,0.245,-0.514,-0.617,-0.058,-0.758,-0.818,-0.239,-0.915,-0.954,-0.372,-1.029,-1.057,-0.478,-1.119,1.691,34.495,68.11,97.745,123.629,147.831
N=470,-0.233,0.245,-0.514,-0.618,-0.058,-0.758,-0.818,-0.239,-0.915,-0.954,-0.372,-1.029,-1.056,-0.477,-1.119,-1.137,28.624,63.791,94.497,121.301,146.31
N=480,-0.233,0.245,-0.514,-0.617,-0.058,-0.758,-0.818,-0.239,-0.915,-0.955,-0.371,-1.03,-1.056,-0.477,-1.12,-1.137,24.429,59.243,91.044,118.786,144.616
N=490,-0.233,0.245,-0.514,-0.618,-0.058,-0.758,-0.818,-0.238,-0.914,-0.954,-0.37,-1.03,-1.056,-0.477,-1.121,-1.137,19.698,54.462,87.387,116.086,142.749
N=500,-0.233,0.245,-0.514,-0.618,-0.058,-0.758,-0.818,-0.238,-0.914,-0.954,-0.37,-1.031,-1.056,-0.477,-1.121,-1.137,14.839,49.465,83.525,113.199,140.712
N=510,-0.233,0.245,-0.514,-0.618,-0.057,-0.758,-0.818,-0.238,-0.914,-0.954,-0.369,-1.031,-1.056,-0.477,-1.122,-1.137,9.414,44.242,79.458,110.127,138.504
N=520,-0.233,0.245,-0.514,-0.618,-0.057,-0.758,-0.818,-0.238,-0.914,-0.954,-0.369,-1.03,-1.056,-0.477,-1.123,-1.138,4.52,37.85,75.185,106.87,136.125
N=530,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.238,-0.914,-0.954,-0.369,-1.03,-1.056,-0.477,-1.124,-1.138,-0.567,34.22,70.707,103.428,133.578
N=540,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.238,-0.914,-0.954,-0.368,-1.029,-1.056,-0.476,-1.125,-1.139,-0.566,29.465,66.016,99.802,130.861
N=550,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.237,-0.914,-0.954,-0.368,-1.028,-1.057,-0.475,-1.124,-1.14,-0.564,24.952,61.116,95.99,127.976
N=560,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.237,-0.915,-0.954,-0.368,-1.028,-1.057,-0.474,-1.123,-1.14,-0.563,19.026,56.19,91.993,124.923
N=570,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.237,-0.914,-0.955,-0.368,-1.028,-1.058,-0.473,-1.122,-1.141,-0.562,13.487,50.198,87.811,121.701
N=580,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.237,-0.914,-0.955,-0.368,-1.028,-1.059,-0.472,-1.121,-1.142,-0.561,9.537,46.813,83.443,118.311
N=590,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.818,-0.237,-0.914,-0.955,-0.368,-1.028,-1.06,-0.472,-1.12,-1.143,-0.561,4.119,41.411,78.896,114.754
N=600,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.819,-0.237,-0.914,-0.955,-0.367,-1.028,-1.06,-0.471,-1.12,-1.144,-0.56,-1.193,36.667,74.103,111.028
N=610,-0.233,0.246,-0.514,-0.618,-0.057,-0.758,-0.819,-0.237,-0.914,-0.955,-0.367,-1.028,-1.059,-0.471,-1.119,-1.145,-0.559,-1.193,31.837,69.161,107.134
N=620,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.818,-0.237,-0.914,-0.955,-0.367,-1.028,-1.059,-0.47,-1.119,-1.145,-0.559,-1.193,27.158,64.535,103.072
N=630,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.818,-0.236,-0.914,-0.954,-0.366,-1.029,-1.058,-0.47,-1.118,-1.144,-0.558,-1.193,21.276,60.215,98.843
N=640,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.914,-0.954,-0.366,-1.029,-1.058,-0.47,-1.118,-1.144,-0.558,-1.193,15.769,55.605,94.434
N=650,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.914,-0.954,-0.366,-1.03,-1.058,-0.47,-1.118,-1.143,-0.557,-1.193,10.628,50.771,89.897
N=660,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.914,-0.955,-0.366,-1.029,-1.057,-0.469,-1.118,-1.142,-0.557,-1.193,4.979,46.216,85.156
N=670,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.914,-0.955,-0.366,-1.029,-1.057,-0.469,-1.118,-1.142,-0.557,-1.194,0.101,40.504,80.531
N=680,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.913,-0.955,-0.366,-1.029,-1.057,-0.469,-1.118,-1.141,-0.556,-1.194,-1.208,35.79,75.755
N=690,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.913,-0.955,-0.366,-1.028,-1.057,-0.469,-1.118,-1.141,-0.556,-1.195,-1.208,30.853,71.973
N=700,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.913,-0.956,-0.366,-1.028,-1.057,-0.469,-1.118,-1.141,-0.556,-1.195,-1.208,24.818,67.06
N=710,-0.233,0.246,-0.513,-0.618,-0.057,-0.758,-0.819,-0.236,-0.914,-0.955,-0.366,-1.028,-1.058,-0.469,-1.119,-1.141,-0.556,-1.196,-1.209,20.185,61.566
N=720,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.236,-0.914,-0.955,-0.365,-1.028,-1.058,-0.469,-1.119,-1.14,-0.556,-1.196,-1.209,13.604,58.063
N=730,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.914,-0.955,-0.365,-1.028,-1.058,-0.469,-1.119,-1.14,-0.556,-1.197,-1.209,9.146,52.842
N=740,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.914,-0.955,-0.365,-1.028,-1.059,-0.468,-1.12,-1.14,-0.556,-1.198,-1.21,2.848,48.071
N=750,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.914,-0.955,-0.365,-1.028,-1.059,-0.468,-1.121,-1.14,-0.556,-1.199,-1.21,-0.631,42.45
N=760,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.913,-0.955,-0.364,-1.028,-1.059,-0.467,-1.121,-1.14,-0.556,-1.2,-1.211,-0.63,37.077
N=770,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.913,-0.955,-0.364,-1.028,-1.06,-0.467,-1.121,-1.14,-0.555,-1.199,-1.211,-0.63,31.788
N=780,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.913,-0.955,-0.364,-1.028,-1.06,-0.467,-1.121,-1.141,-0.555,-1.198,-1.212,-0.629,26.061
N=790,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.913,-0.956,-0.364,-1.029,-1.059,-0.466,-1.12,-1.141,-0.554,-1.197,-1.212,-0.628,20.795
N=800,-0.233,0.246,-0.513,-0.618,-0.056,-0.758,-0.819,-0.235,-0.913,-0.956,-0.364,-1.029,-1.059,-0.466,-1.119,-1.141,-0.553,-1.196,-1.213,-0.628,15.549
