,J=66,J=68,J=70,J=72,J=74,J=76,J=78,J=80,J=82,J=84,J=86,J=88,J=90,J=92,J=94,J=96,J=98,J=100,J=102,J=104,J=106,J=108,J=110,J=112,J=114,J=116,J=118,J=120
N=140,-0.43,-1.05,-1.06,-0.48,-1.1,-0.07,3.33,7.28,10.86,13.58,16.91,19.94,22.14,25.02,27.62,29.43,31.95,34.22,35.72,37.95,39.94,41.19,43.18,44.95,45.98,47.76,49.34,50.19
N=145,-0.43,-1.05,-1.05,-0.48,-1.1,-1.1,1.57,5.78,9.59,12.52,16.06,19.28,21.67,24.72,27.48,29.46,32.12,34.53,36.17,38.53,40.65,42.03,44.13,46.02,47.17,49.06,50.74,51.7
N=150,-0.43,-1.05,-1.05,-0.48,-1.09,-1.1,-0.35,4.11,8.16,11.32,15.07,18.49,21.06,24.29,27.22,29.35,32.17,34.73,36.51,39,41.26,42.75,44.98,46.98,48.24,50.25,52.04,53.1
N=155,-0.43,-1.05,-1.05,-0.48,-1.09,-1.09,-0.52,2.28,6.58,9.97,13.94,17.56,20.32,23.73,26.83,29.13,32.1,34.81,36.73,39.36,41.75,43.37,45.72,47.84,49.22,51.33,53.23,54.39
N=160,-0.43,-1.05,-1.05,-0.47,-1.09,-1.09,-0.51,0.28,4.85,8.47,12.66,16.49,19.45,23.04,26.32,28.79,31.92,34.77,36.84,39.61,42.13,43.88,46.36,48.6,50.09,52.31,54.32,55.59
N=165,-0.42,-1.05,-1.05,-0.47,-1.09,-1.09,-0.51,-1.13,2.95,6.83,11.25,15.29,18.45,22.23,25.69,28.32,31.62,34.63,36.85,39.75,42.41,44.29,46.89,49.25,50.86,53.2,55.32,56.7
N=170,-0.42,-1.05,-1.05,-0.47,-1.09,-1.09,-0.51,-1.13,0.91,5.04,9.69,13.95,17.32,21.29,24.94,27.74,31.2,34.37,36.74,39.79,42.58,44.6,47.33,49.81,51.54,53.99,56.22,57.71
N=175,-0.42,-1.05,-1.05,-0.47,-1.09,-1.09,-0.51,-1.13,-1.13,3.1,7.99,12.48,16.06,20.23,24.06,27.05,30.67,34,36.52,39.72,42.66,44.81,47.66,50.27,52.12,54.69,57.03,58.63
N=180,-0.42,-1.05,-1.05,-0.47,-1.09,-1.09,-0.51,-1.13,-1.13,1.01,6.16,10.88,14.68,19.05,23.07,26.24,30.03,33.53,36.2,39.55,42.63,44.91,47.9,50.64,52.61,55.29,57.75,59.46
N=185,-0.42,-1.05,-1.05,-0.46,-1.09,-1.09,-0.51,-1.12,-1.13,-0.55,4.18,9.14,13.16,17.74,21.96,25.31,29.28,32.94,35.78,39.28,42.5,44.92,48.04,50.91,53,55.81,58.38,60.2
