CI_lo,mean,CI_hi,var,N,time,
-0.0805959,0.201765,0.484125,2.07537,100,0.000129,
0.0400395,0.0891728,0.138306,0.628405,1000,0.000651,
0.0657195,0.0814618,0.0972041,0.645096,10000,0.00514,
0.0790121,0.0841762,0.0893403,0.694182,100000,0.04997,
0.0804796,0.082102,0.0837244,0.685173,1e+06,0.491163,
0.0813761,0.0818853,0.0823945,0.674906,1e+07,4.88136,
0.0814812,0.081642,0.0818029,0.673345,1e+08,48.8796,
