CI_lo,mean,CI_hi,var,N,time,
5.02816,7.10696,9.18576,112.489,100,0.014976,
6.31265,7.06557,7.81848,147.564,1000,0.128,
7.5735,7.82368,8.07385,162.921,10000,1.19325,
7.48026,7.55789,7.63553,156.894,100000,12.1016,
7.64278,7.66756,7.69234,159.85,1e+06,121.366,
