CI_lo,mean,CI_hi,var,geo_price,N,time,
29.6875,37.3294,44.9713,760.08,29.6485,100,0.001933,
28.9155,31.1951,33.4747,676.367,29.6485,1000,0.018312,
30.9158,31.65,32.3841,701.532,29.6485,10000,0.181632,
30.9122,31.145,31.3778,705.461,29.6485,100000,1.73708,
30.9689,31.042,31.1151,696.207,29.6485,1e+06,17.9376,
31.0634,31.0865,31.1096,696.615,29.6485,1e+07,182.154,
31.0805,31.0878,31.0951,697.224,29.6485,1e+08,1769.93,
