CI_lo,mean,CI_hi,var,N,time,
4.98408,6.45114,7.91821,56.0256,100,0.010768,
7.01339,7.53357,8.05375,70.4365,1000,0.069008,
7.53133,7.70359,7.87585,77.2418,10000,0.662128,
7.62826,7.68204,7.73581,75.2783,100000,6.68203,
7.6762,7.69321,7.71023,75.3733,1e+06,66.3982,
