CI_lo,mean,CI_hi,var,N,time,
6.84609,8.50169,10.1573,71.3508,100,0.006799,
7.0666,7.52603,7.98546,54.9445,1000,0.073334,
7.55743,7.70412,7.8508,56.0094,10000,0.675183,
7.58151,7.62698,7.67245,53.8192,100000,6.64265,
7.63097,7.64537,7.65977,53.9978,1e+06,68.2238,
