CI_lo,mean,CI_hi,var,N,time,
7.63003,7.71987,7.80971,0.210107,100,0.007744,
7.62255,7.64909,7.67563,0.18337,1000,0.069584,
7.65915,7.66754,7.67593,0.183235,10000,0.68036,
7.66649,7.66917,7.67184,0.186365,100000,6.803,
7.66707,7.66792,7.66877,0.186354,1e+06,63.3933,
