CI_lo,mean,CI_hi,var,N,time,
-0.0574408,0.0984075,0.254256,0.316127,100,3.5e-05,
0.0369724,0.105278,0.173584,0.607258,1000,0.000362,
0.0662328,0.0828844,0.0995359,0.360883,10000,0.003184,
0.0805564,0.0857646,0.0909729,0.353057,100000,0.028886,
0.0808948,0.0825204,0.0841459,0.343917,1e+06,0.271415,
0.082291,0.0828047,0.0833184,0.343442,1e+07,2.77304,
0.0829537,0.0831166,0.0832796,0.345542,1e+08,27.789,
