CI_lo,mean,CI_hi,var,N,time,
4.85634,7.49356,10.1308,181.043,100,0.01243,
6.80924,7.51869,8.22815,131.02,1000,0.130569,
7.41625,7.65112,7.88599,143.601,10000,1.23205,
7.59186,7.66625,7.74065,144.08,100000,12.2661,
7.61953,7.64302,7.66651,143.63,1e+06,127.201,
