CI_lo,mean,CI_hi,var,geo_price,N,time,
22.0505,29.0803,36.1101,643.197,29.6485,100,0.001989,
28.2338,30.4409,32.648,634,29.6485,1000,0.019631,
28.9081,29.6012,30.2943,625.289,29.6485,10000,0.186416,
29.5416,29.7646,29.9877,647.758,29.6485,100000,1.74366,
29.6281,29.6986,29.7691,646.325,29.6485,1e+06,17.8224,
29.6472,29.6695,29.6918,645.968,29.6485,1e+07,180.334,
29.6472,29.6543,29.6613,645.496,29.6485,1e+08,1764.43,
